DATE,GDPC1
1947-01-01,2182.681
1947-04-01,2176.892
1947-07-01,2172.432
1947-10-01,2206.452
1948-01-01,2239.682
1948-04-01,2276.69
1948-07-01,2289.77
1948-10-01,2292.364
1949-01-01,2260.807
1949-04-01,2253.128
1949-07-01,2276.424
1949-10-01,2257.352
1950-01-01,2346.104
1950-04-01,2417.682
1950-07-01,2511.127
1950-10-01,2559.214
1951-01-01,2593.967
1951-04-01,2638.898
1951-07-01,2693.259
1951-10-01,2699.156
1952-01-01,2727.954
1952-04-01,2733.8
1952-07-01,2753.517
1952-10-01,2843.941
1953-01-01,2896.811
1953-04-01,2919.206
1953-07-01,2902.785
1953-10-01,2858.845
1954-01-01,2845.192
1954-04-01,2848.305
1954-07-01,2880.482
1954-10-01,2936.852
1955-01-01,3020.746
1955-04-01,3069.91
1955-07-01,3111.379
1955-10-01,3130.068
1956-01-01,3117.922
1956-04-01,3143.694
1956-07-01,3140.874
1956-10-01,3192.57
1957-01-01,3213.011
1957-04-01,3205.97
1957-07-01,3237.386
1957-10-01,3203.894
1958-01-01,3120.724
1958-04-01,3141.224
1958-07-01,3213.884
1958-10-01,3289.032
1959-01-01,3352.129
1959-04-01,3427.667
1959-07-01,3430.057
1959-10-01,3439.832
1960-01-01,3517.181
1960-04-01,3498.246
1960-07-01,3515.385
1960-10-01,3470.278
1961-01-01,3493.703
1961-04-01,3553.021
1961-07-01,3621.252
1961-10-01,3692.289
1962-01-01,3758.147
1962-04-01,3792.149
1962-07-01,3838.776
1962-10-01,3851.421
1963-01-01,3893.482
1963-04-01,3937.183
1963-07-01,4023.755
1963-10-01,4050.147
1964-01-01,4135.553
1964-04-01,4180.592
1964-07-01,4245.918
1964-10-01,4259.046
1965-01-01,4362.111
1965-04-01,4417.225
1965-07-01,4515.427
1965-10-01,4619.458
1966-01-01,4731.888
1966-04-01,4748.046
1966-07-01,4788.254
1966-10-01,4827.537
1967-01-01,4870.299
1967-04-01,4873.287
1967-07-01,4919.392
1967-10-01,4956.477
1968-01-01,5057.553
1968-04-01,5142.033
1968-07-01,5181.859
1968-10-01,5202.212
1969-01-01,5283.597
1969-04-01,5299.625
1969-07-01,5334.6
1969-10-01,5308.556
1970-01-01,5300.652
1970-04-01,5308.164
1970-07-01,5357.077
1970-10-01,5299.672
1971-01-01,5443.619
1971-04-01,5473.059
1971-07-01,5518.072
1971-10-01,5531.032
1972-01-01,5632.649
1972-04-01,5760.47
1972-07-01,5814.854
1972-10-01,5912.22
1973-01-01,6058.544
1973-04-01,6124.506
1973-07-01,6092.301
1973-10-01,6150.131
1974-01-01,6097.258
1974-04-01,6111.751
1974-07-01,6053.978
1974-10-01,6030.464
1975-01-01,5957.035
1975-04-01,5999.61
1975-07-01,6102.326
1975-10-01,6184.53
1976-01-01,6323.649
1976-04-01,6370.025
1976-07-01,6404.895
1976-10-01,6451.177
1977-01-01,6527.703
1977-04-01,6654.466
1977-07-01,6774.457
1977-10-01,6774.592
1978-01-01,6796.26
1978-04-01,7058.92
1978-07-01,7129.915
1978-10-01,7225.75
1979-01-01,7238.727
1979-04-01,7246.454
1979-07-01,7300.281
1979-10-01,7318.535
1980-01-01,7341.557
1980-04-01,7190.289
1980-07-01,7181.743
1980-10-01,7315.677
1981-01-01,7459.022
1981-04-01,7403.745
1981-07-01,7492.405
1981-10-01,7410.768
1982-01-01,7295.631
1982-04-01,7328.912
1982-07-01,7300.896
1982-10-01,7303.817
1983-01-01,7400.066
1983-04-01,7568.456
1983-07-01,7719.746
1983-10-01,7880.794
1984-01-01,8034.847
1984-04-01,8173.67
1984-07-01,8252.465
1984-10-01,8320.199
1985-01-01,8400.82
1985-04-01,8474.787
1985-07-01,8604.22
1985-10-01,8668.188
1986-01-01,8749.127
1986-04-01,8788.524
1986-07-01,8872.601
1986-10-01,8920.193
1987-01-01,8986.367
1987-04-01,9083.256
1987-07-01,9162.024
1987-10-01,9319.332
1988-01-01,9367.502
1988-04-01,9490.594
1988-07-01,9546.206
1988-10-01,9673.405
1989-01-01,9771.725
1989-04-01,9846.293
1989-07-01,9919.228
1989-10-01,9938.767
1990-01-01,10047.386
1990-04-01,10083.855
1990-07-01,10090.569
1990-10-01,9998.704
1991-01-01,9951.916
1991-04-01,10029.51
1991-07-01,10080.195
1991-10-01,10115.329
1992-01-01,10236.435
1992-04-01,10347.429
1992-07-01,10449.673
1992-10-01,10558.648
1993-01-01,10576.275
1993-04-01,10637.847
1993-07-01,10688.606
1993-10-01,10833.987
1994-01-01,10939.116
1994-04-01,11087.361
1994-07-01,11152.176
1994-10-01,11279.932
1995-01-01,11319.951
1995-04-01,11353.721
1995-07-01,11450.31
1995-10-01,11528.067
1996-01-01,11614.418
1996-04-01,11808.14
1996-07-01,11914.063
1996-10-01,12037.775
1997-01-01,12115.472
1997-04-01,12317.221
1997-07-01,12471.01
1997-10-01,12577.495
1998-01-01,12703.742
1998-04-01,12821.339
1998-07-01,12982.752
1998-10-01,13191.67
1999-01-01,13315.597
1999-04-01,13426.748
1999-07-01,13604.771
1999-10-01,13827.98
2000-01-01,13878.147
2000-04-01,14130.908
